STOCK,PRICE,TIME
FREQ,22.96,2020-07-10 10:37:51.976322
FSLY,102.72,2020-07-10 10:37:52.829483
TTD,463.0,2020-07-10 10:37:53.641926
PLUG,8.95,2020-07-10 10:37:54.447081
DOCU,212.42,2020-07-10 10:37:55.294360
AMZN,3182.63,2020-07-10 10:37:56.111721
AVLR,140.37,2020-07-10 10:37:56.969565
COUP,312.22,2020-07-10 10:37:57.712900
MSCI,375.14,2020-07-10 10:37:58.596304
ACAD,56.07,2020-07-10 10:37:59.473896
TDOC,228.43,2020-07-10 10:38:00.315935
OSTK,45.18,2020-07-10 10:38:39.834931
ZM,269.52,2020-07-10 10:38:40.876057
TSLA,1394.28,2020-07-10 10:38:41.750074
CLDR,12.28,2020-07-10 10:38:42.578132
FREQ,22.96,2020-07-10 10:38:44.398607
FSLY,102.72,2020-07-10 10:38:45.364847
TTD,463.0,2020-07-10 10:38:46.158643
PLUG,8.95,2020-07-10 10:38:47.148519
DOCU,212.42,2020-07-10 10:38:48.050503
AMZN,3182.63,2020-07-10 10:38:48.863713
AVLR,140.37,2020-07-10 10:38:49.611571
COUP,312.22,2020-07-10 10:38:55.575938
MSCI,375.14,2020-07-10 10:38:56.573394
ACAD,56.07,2020-07-10 10:38:57.542241
TDOC,228.43,2020-07-10 10:38:58.406811
OSTK,45.13,2020-07-10 14:56:02.339543
ZM,274.59,2020-07-10 14:56:12.288212
TSLA,1387.68,2020-07-10 14:56:18.343892
CLDR,12.41,2020-07-10 14:56:23.528061
FREQ,22.9,2020-07-10 14:56:29.440415
FSLY,98.0,2020-07-10 14:56:35.509537
TTD,457.23,2020-07-10 14:56:41.577698
PLUG,9.38,2020-07-10 14:56:46.743244
DOCU,210.37,2020-07-10 14:56:52.681102
AMZN,3172.14,2020-07-10 14:56:57.030640
AVLR,138.47,2020-07-10 14:57:02.774458
COUP,310.93,2020-07-10 14:57:08.835318
MSCI,369.23,2020-07-10 14:57:14.891667
ACAD,55.44,2020-07-10 14:57:20.179720
TDOC,228.64,2020-07-10 14:57:26.017967
OSTK,45.63,2020-07-10 15:00:38.931122
ZM,275.48,2020-07-10 15:00:43.982637
TSLA,1381.72,2020-07-10 15:00:50.035080
CLDR,12.42,2020-07-10 15:00:55.658217
FREQ,22.9,2020-07-10 15:01:01.131234
FSLY,98.31,2020-07-10 15:01:07.194369
TTD,454.98,2020-07-10 15:01:13.046979
PLUG,9.24,2020-07-10 15:01:17.559053
DOCU,208.97,2020-07-10 15:01:23.359421
AMZN,3166.42,2020-07-10 15:01:29.418205
AVLR,138.56,2020-07-10 15:01:35.474893
COUP,310.29,2020-07-10 15:01:42.545628
MSCI,368.31,2020-07-10 15:01:48.613371
ACAD,55.47,2020-07-10 15:01:54.681771
TDOC,228.41,2020-07-10 15:02:00.746258
OSTK,45.66,2020-07-10 15:03:44.121155
ZM,275.19,2020-07-10 15:03:49.820997
TSLA,1377.65,2020-07-10 15:03:55.878373
CLDR,12.44,2020-07-10 15:04:01.915204
FREQ,22.7,2020-07-10 15:04:07.980005
FSLY,97.5,2020-07-10 15:04:14.056363
TTD,452.71,2020-07-10 15:04:20.106442
